Rt_no,Date
3.280402722013318,2020-08-24
3.1271008880628135,2020-08-25
2.9635410184086637,2020-08-26
2.813877103223787,2020-08-27
2.668400856484953,2020-08-28
2.5377099557771507,2020-08-29
2.4144737810826324,2020-08-30
2.2981051258495806,2020-08-31
2.187809620420819,2020-09-01
2.088246781139149,2020-09-02
1.9973568027889184,2020-09-03
1.9091834436702906,2020-09-04
1.8251630280404647,2020-09-05
1.750430996534159,2020-09-06
1.6896020295236271,2020-09-07
1.6496550904732845,2020-09-08
1.6487571096061695,2020-09-09
1.6965498451765209,2020-09-10
1.7947592292265782,2020-09-11
1.9357865089151742,2020-09-12
2.104269747646381,2020-09-13
2.262385691163289,2020-09-14
2.4088064674708947,2020-09-15
2.5041251395221393,2020-09-16
2.536396273834127,2020-09-17
2.4896303485546984,2020-09-18
2.3790137218538674,2020-09-19
2.184296316612606,2020-09-20
1.9081072350492325,2020-09-21
1.583982280715698,2020-09-22
1.2324635791441816,2020-09-23
0.9194199852561219,2020-09-24
0.6591771934478248,2020-09-25
0.4745895073639444,2020-09-26
0.35337079362301677,2020-09-27
0.27598292186835977,2020-09-28
0.2295944198980507,2020-09-29
0.20220702765736168,2020-09-30
0.1833201908404639,2020-10-01
0.17280787771882142,2020-10-02
0.1660916125538924,2020-10-03
0.16258631174464913,2020-10-04
0.16102350605702478,2020-10-05
0.16075929939722658,2020-10-06
0.16114910570858065,2020-10-07
0.16184966568606152,2020-10-08
0.1634952290015034,2020-10-09
0.16659241796367705,2020-10-10
0.17146643481116583,2020-10-11
0.1785866163849275,2020-10-12
0.18816988476927768,2020-10-13
0.20041742912329122,2020-10-14
0.21592622427057456,2020-10-15
0.23226569867928834,2020-10-16
0.2465807514279129,2020-10-17
0.2575998303737752,2020-10-18
0.2629349609299493,2020-10-19
0.2611633613837086,2020-10-20
0.2555822305157888,2020-10-21
0.2480547332662287,2020-10-22
0.24046130387501705,2020-10-23
0.23282327544003645,2020-10-24
0.22673376419235186,2020-10-25
0.22154481121875613,2020-10-26
0.21729979694182203,2020-10-27
0.21337498706085242,2020-10-28
0.20998968154051684,2020-10-29
0.20649224147649656,2020-10-30
0.20326782834963847,2020-10-31
0.20112770527460483,2020-11-01
0.19960402324948115,2020-11-02
0.19730487205850045,2020-11-03
0.1954482184970886,2020-11-04
0.19400287425647258,2020-11-05
0.1912903416470457,2020-11-06
0.18812583054849036,2020-11-07
0.18428861973652863,2020-11-08
0.18093529604181463,2020-11-09
0.17793697802354685,2020-11-10
0.17552817105048701,2020-11-11
0.17402988531296287,2020-11-12
0.17311979254783086,2020-11-13
0.17261885124320134,2020-11-14
0.17230769859768844,2020-11-15
0.17266191447512957,2020-11-16
0.17379311571208889,2020-11-17
0.17611326093659666,2020-11-18
0.1800812236138888,2020-11-19
0.1864466728049106,2020-11-20
0.1937728923943,2020-11-21
0.20248948190720215,2020-11-22
0.21023811771668716,2020-11-23
0.21717631082816605,2020-11-24
0.22211285952685986,2020-11-25
0.22500600158519724,2020-11-26
0.22626558184238443,2020-11-27
0.22603146041165187,2020-11-28
0.22261464622823487,2020-11-29
0.21844534323624878,2020-11-30
0.21198321459274494,2020-12-01
0.2032999148850923,2020-12-02
0.19358298912559424,2020-12-03
0.18468886421173797,2020-12-04
0.1770877961953841,2020-12-05
0.17075310956402967,2020-12-06
0.16688039301170798,2020-12-07
0.16565704944479456,2020-12-08
0.16644088820621147,2020-12-09
0.16901631061462266,2020-12-10
0.1733963276916467,2020-12-11
0.17989180481830672,2020-12-12
0.18852497857170383,2020-12-13
